item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Living room,Bedroom,Office,Kitchen,Dining room,Entrance,Playroom,Nursery,Outdoor,space,size_cluster,size_category,rooms,cluster
39213915,KLIMPEN,Tables & desks,1540.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-table-grey-light-grey-s39213915/,No,"        Table,          150x75 cm",Tina Christensen,68.35570482626952,73.0,75.0,1,0,1,1,1,0,0,0,0,374247.48392382555,1,medium,"Living room, Office, Kitchen, Dining room",7.0
9213931,KLIMPEN,Tables & desks,1590.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-table-grey-light-grey-s09213931/,No,"        Table,          150x75 cm",Tina Christensen,69.16446416596254,73.0,75.0,1,0,1,1,1,0,0,0,0,378675.44130864495,1,medium,"Living room, Office, Kitchen, Dining room",7.0
69214145,KLIMPEN,Tables & desks,2285.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-table-light-grey-s69214145/,No,"        Table,          240x60 cm",Tina Christensen,80.76185430155198,73.0,60.0,1,0,1,1,1,0,0,0,0,353736.92184079764,1,medium,"Living room, Office, Kitchen, Dining room",7.0
9214148,KLIMPEN,Tables & desks,2585.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-table-grey-light-grey-s09214148/,No,"        Table,          300x75 cm",Tina Christensen,85.25877502585371,73.0,75.0,1,0,1,1,1,0,0,0,0,466791.79326654907,1,medium,"Living room, Office, Kitchen, Dining room",7.0
59213938,KLIMPEN / LALLE,Tables & desks,775.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-lalle-table-light-grey-black-s59213938/,Yes,"        Table,          120x60 cm",Tina Christensen,56.337322242822694,73.0,60.0,1,0,1,1,1,0,0,0,0,246757.47142356337,1,medium,"Living room, Office, Kitchen, Dining room",7.0
99213941,KLIMPEN / LALLE,Tables & desks,850.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-lalle-table-light-grey-black-s99213941/,No,"        Table,          150x75 cm",Tina Christensen,57.1948259385058,73.0,75.0,1,0,1,1,1,0,0,0,0,313141.6720133193,1,medium,"Living room, Office, Kitchen, Dining room",7.0
69325855,KLIMPEN / TORSKLINT,Tables & desks,950.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-torsklint-table-light-grey-s69325855/,No,"        Table,          150x75 cm",Tina Christensen/Jomi Evers,58.812344617891846,73.0,75.0,1,0,1,1,1,0,0,0,0,321997.5867829579,1,medium,"Living room, Office, Kitchen, Dining room",7.0
80425212,KLIPPAN,Sofas & armchairs,295.0,No old price,True,https://www.ikea.com/sa/en/p/klippan-cover-for-2-seat-sofa-mattsbo-multicolour-80425212/,Yes,        Cover for 2-seat sofa,IKEA of Sweden,43.563339125168625,110.10759441475922,105.85740289027498,1,1,0,0,0,0,0,0,0,507761.3853645569,1,medium,"Living room, Bedroom",7.0
9251777,KLIPPAN,Sofas & armchairs,995.0,No old price,True,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/,Yes,        2-seat sofa,IKEA of Sweden,88.0,66.0,180.0,1,1,0,0,0,0,0,0,0,1045440.0,1,medium,"Living room, Bedroom",7.0
40399314,KLIPPAN,Sofas & armchairs,1295.0,No old price,True,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-bomstad-black-40399314/,No,        2-seat sofa,IKEA of Sweden,88.0,66.0,177.0,1,1,0,0,0,0,0,0,0,1028016.0,1,medium,"Living room, Bedroom",3.0
